State,Count
Alabama,458
Arkansas,256
Arizona,1299
California,27474
Colorado,921
Connecticut,1042
Delaware,578
District Of Columbia,410
Florida,3345
Georgia,3111
Hawaii,82
Iowa,427
Idaho,166
Illinois,4462
Indiana,911
Kansas,355
Kentucky,476
Louisiana,350
Maine,78
Maryland,1399
Massachusetts,4024
Michigan,3787
Minnesota,882
Missouri,887
Mississippi,100
Montana,55
North Carolina,2265
North Dakota,108
Nebraska,300
New Hampshire,257
New Jersey,8969
New Mexico,246
Nevada,208
New York,8459
Ohio,1703
Oklahoma,300
Oregon,1233
Pennsylvania,2498
Rhode Island,197
South Carolina,384
South Dakota,73
Tennessee,611
Texas,14308
Utah,394
Virginia,3348
Vermont,89
Washington,6632
Wisconsin,829
West Virginia,82
Wyoming,24
